Family,P_A_Value
Acroloxidae,3.6
Aeshnidae,4.7
Ancylus,5.7
Aphelocheiridae,8.5
Asellidae,2.8
Astacidae,7.9
Athericidae,9.3
Baetidae,5.5
Beraeidae,8.7
Bithyniidae,3.7
Brachycentridae,9.5
Caenidae,6.5
Calopterygidae,6
Capniidae,9.6
Ceratopogonidae,5.5
Chaoboridae,3
Chironomidae,1.1
Chloroperlidae,11.6
Coenagrionidae,3.5
Cordulegasteridae,9.8
Corduliidae,
Corixidae,3.8
Corophiidae,5.8
Crangonyctidae,3.9
Culicidae,2
Dendrocoelidae,3
Dixidae,7
Dolichopodidae,4.9
Dreissenidae,3.7
Dryopidae,6
Dugesiidae,2.9
Dytiscidae,4.5
Elmidae,6.6
Empididae,7.1
Ephemerellidae,8.2
Ephemeridae,8.4
Ephydridae,4.4
Erpobdellidae,3.1
Gammaridae,4.4
Gerridae,5.2
Glossiphoniidae,3.2
Glossosomatidae,7.7
Goeridae,8.8
Gomphidae,
Gyrinidae,8.2
Haliplidae,3.6
Heptageniidae,9.7
Hirudinidae,-0.8
Hydraenidae,8.9
Hydrobiidae,4.2
Hydrometridae,4.3
Hydrophilidae,6.2
Hydropsychidae,6.6
Hydroptilidae,6.2
Lepidostomatidae,10.1
Leptoceridae,6.7
Leptophlebiidae,8.8
Lestidae,
Leuctridae,10
Libellulidae,4.1
Limnephilidae,6.2
Lymnaeidae,3.3
Mesoveliidae,4.7
Molannidae,6.6
Muscidae,3.9
Naucoridae,3.7
Nemouridae,9.3
Nepidae,2.9
Neritidae,6.4
Niphargidae,6.3
Noteridae,3.2
Notonectidae,3.4
Odontoceridae,11
Oligochaeta,2.7
Paelobiidae,3.8
Perlidae,12.7
Perlodidae,10.8
Philopotamidae,11.2
Phryganeidae,5.5
Physidae,2.4
Piscicolidae,5.2
Planariidae,4.9
Planorbidae,3.1
Platycnemididae,6
Pleidae,3.3
Polycentropodidae,8.1
Potamanthidae,10
Psychodidae,4.4
Psychomyiidae,5.8
Ptychopteridae,6.4
Rhagionidae,9.6
Rhyacophilidae,8.4
Sciomyzidae,3.4
Scirtidae,6.9
Sericostomatidae,9.1
Sialidae,4.3
Simuliidae,5.8
Siphlonuridae,11.5
Sisyridae,5.7
Sphaeriidae,3.9
Stratiomyidae,3.6
Syrphidae,1.9
Tabanidae,7.1
Taeniopterygidae,11.3
Tipulidae,5.9
Unionidae,5.3
Valvatidae,3.2
Veliidae,4.5
Viviparidae,5.7
