"","Site_Label","ASPT","PA"
"1","A",5.88867924528302,5.96415094339623
"2","B",5.59230769230769,5.65384615384615
"3","C",5.39454545454545,5.43636363636364
"4","D",6.27924528301887,6.40188679245283
"5","E",5.39807692307692,5.45961538461538
"6","F",6.19661016949153,6.28135593220339
"7","G",6.032,6.06
"8","H",5.39038461538462,5.41538461538462
"9","I",6.25535714285714,6.28392857142857
"10","J",5.66279069767442,5.7
"11","K",6.04827586206897,6.10344827586207
"12","L",5.93035714285714,6.02142857142857
"13","M",6.05263157894737,6.15614035087719
"14","N",5.89803921568627,5.96470588235294
"15","O",5.61020408163265,5.68571428571429
"16","P",5.97321428571429,6.07142857142857
"17","Q",5.53035714285714,5.61607142857143
"18","R",6.54222222222222,6.68222222222222
"19","S",6.06122448979592,6.15714285714286
"20","T",5.54166666666667,5.64583333333333
"21","U",5.76428571428571,5.81666666666667
"22","V",6.04807692307692,6.11153846153846
"23","W",5.71111111111111,5.7962962962963
"24","X",5.76078431372549,5.87058823529412
"25","Y",5.59038461538462,5.63076923076923
"26","Z",5.64385964912281,5.66842105263158
